date,code,name_ru,quant,value,change
2021-05-11,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.35,0.00
2021-05-11,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,54.96,0.00
2021-05-11,GEL,ГРУЗИНСКИЙ ЛАРИ,1,124.49,0.00
2021-05-11,DKK,ДАТСКАЯ КРОНА,1,69.18,0.00
2021-05-11,AED,ДИРХАМ ОАЭ,1,116.26,0.00
2021-05-11,USD,ДОЛЛАР США,1,426.99,0.00
2021-05-11,EUR,ЕВРО,1,514.35,0.00
2021-05-11,INR,ИНДИЙСКАЯ РУПИЯ,1,5.79,0.00
2021-05-11,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,0.00
2021-05-11,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.65,0.00
2021-05-11,CNY,КИТАЙСКИЙ ЮАНЬ,1,65.96,0.00
2021-05-11,KWD,КУВЕЙТСКИЙ ДИНАР,1,1418.38,0.00
2021-05-11,KGS,КЫРГЫЗСКИЙ СОМ,1,5.04,0.00
2021-05-11,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.64,0.00
2021-05-11,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.13,0.00
2021-05-11,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.1,0.00
2021-05-11,NOK,НОРВЕЖСКАЯ КРОНА,1,51.23,0.00
2021-05-11,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,112.1,0.00
2021-05-11,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.86,0.00
2021-05-11,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.72,0.00
2021-05-11,XDR,СДР,1,611.7,0.00
2021-05-11,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,319.94,0.00
2021-05-11,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.75,0.00
2021-05-11,THB,ТАЙСКИЙ БАТ,1,13.67,0.00
2021-05-11,TRY,ТУРЕЦКАЯ ЛИРА,1,51.36,0.00
2021-05-11,UZS,УЗБЕКСКИХ СУМОВ,100,4.07,0.00
2021-05-11,UAH,УКРАИНСКАЯ ГРИВНА,1,15.39,0.00
2021-05-11,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,594.2,0.00
2021-05-11,CZK,ЧЕШСКАЯ КРОНА,1,19.91,0.00
2021-05-11,SEK,ШВЕДСКАЯ КРОНА,1,50.5,0.00
2021-05-11,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,469.48,0.00
2021-05-11,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,29.94,0.00
2021-05-11,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,38.02,0.00
2021-05-11,JPY,ЯПОНСКАЯ ЙЕНА,1,3.91,0.00
2021-05-12,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,335.2,+4.24
2021-05-12,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.34,+0.13
2021-05-12,AMD,АРМЯНСКИЙ ДРАМ,10,8.19,-0.02
2021-05-12,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,168.7,+0.71
2021-05-12,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,81.78,+2.02
2021-05-12,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.5,+0.15
2021-05-12,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,55,+0.04
2021-05-12,GEL,ГРУЗИНСКИЙ ЛАРИ,1,125.28,+0.79
2021-05-12,DKK,ДАТСКАЯ КРОНА,1,69.91,+0.73
2021-05-12,AED,ДИРХАМ ОАЭ,1,116.32,+0.06
2021-05-12,USD,ДОЛЛАР США,1,427.22,+0.23
2021-05-12,EUR,ЕВРО,1,519.71,+5.36
2021-05-12,INR,ИНДИЙСКАЯ РУПИЯ,1,5.83,+0.04
2021-05-12,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,0.00
2021-05-12,CAD,КАНАДСКИЙ ДОЛЛАР,1,353.07,+4.42
2021-05-12,CNY,КИТАЙСКИЙ ЮАНЬ,1,66.52,+0.56
2021-05-12,KWD,КУВЕЙТСКИЙ ДИНАР,1,1420.28,+1.90
2021-05-12,KGS,КЫРГЫЗСКИЙ СОМ,1,5.04,0.00
2021-05-12,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.79,+0.15
2021-05-12,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.5,+0.37
2021-05-12,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.14,+0.04
2021-05-12,NOK,НОРВЕЖСКАЯ КРОНА,1,51.85,+0.62
2021-05-12,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,114.14,+2.04
2021-05-12,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.92,+0.06
2021-05-12,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.78,+0.06
2021-05-12,XDR,СДР,1,616.23,+4.53
2021-05-12,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,322.16,+2.22
2021-05-12,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.77,+0.02
2021-05-12,THB,ТАЙСКИЙ БАТ,1,13.74,+0.07
